"spo","w_1_rpomAlone","w_2_rpomAlone","w_3_rpomAlone","w_4_rpomAlone","w_1_vib","w_2_vib","w_3_vib","w_4_vib","w_1_mari","w_2_mari","w_3_mari","w_4_mari","w_1_CC","w_2_CC","w_3_CC","w_4_CC"
"SPO3358",0.87,0.84,0.95,1,1.1,0.95,0.96,0.9,1.1,0.96,0.91,0.73,0.82,0.86,0.91,1
"SPO3359",1,0.94,1,0.87,0.91,0.85,1.1,1,0.98,1,1.1,0.92,0.92,0.96,0.92,1.1
"SPO3360",1.1,1.1,1,1.1,1.1,0.97,0.96,1,1.1,0.98,1,1.1,0.98,0.96,1,1
"SPO3361",0.8,0.92,0.89,0.95,0.86,0.9,0.86,1.1,0.86,0.96,0.93,0.96,0.91,0.89,0.9,0.99
"SPO3362",1.3,1,1.1,1.1,1.2,0.97,0.97,1.1,1.1,1,1.1,1,1.1,0.88,0.97,1.1
"SPO3363",NA,NA,NA,1.1,NA,1.1,1.1,1.4,NA,NA,1.1,1.1,NA,1.1,1.3,NA
"SPO3364",1.3,NA,NA,1,NA,NA,NA,0.73,NA,NA,NA,0,NA,NA,NA,0.39
"SPO3365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO3366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO3367",0.98,1.1,0.98,0.97,0.95,1,0.97,1,0.99,1,1,0.98,0.93,1,1,0.97
"SPO3368",1,1,1,1,0.95,0.98,0.98,1,1,1,1,0.98,1,0.98,1,1
"SPO3369",0.94,0.89,1,0.95,0.98,0.95,1,0.97,0.92,0.99,1,0.99,1,0.8,1.1,0.84
"SPO3370",1,1,1.1,1.1,1,1,1,1,1,0.99,1,1,1,0.96,1,1
"SPO3371",1.1,1.1,1,1,1.1,1.1,1,0.95,1.1,0.99,1.1,0.97,1.1,1,1,0.92
"SPO3372",0.91,0.9,0.93,1.1,0.9,0.99,1,1.1,0.91,0.89,1,1,0.79,0.84,1.1,1
"SPO3373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO3374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO3375",0.98,0.97,0.96,1,0.94,0.95,0.84,0.97,0.93,0.96,0.97,0.99,0.98,0.95,1,1
"SPO3376",1.2,0.65,1,1,0.96,0.92,0.95,0.82,0.93,0.9,1,0.89,1.1,0.73,0.93,0.84
"SPO3377",0,0.31,0,0.75,0.8,0.49,0,0.81,0.76,0,0,0.7,0.4,0,0.6,0.87
"SPO3378",1.2,1.1,0.86,1,1.1,1,0.94,0.98,1.1,1.1,1,1,1.1,0.98,0.96,1
"SPO3379",1.3,1.2,1,0.75,1.3,1.1,0.93,1,1.1,1.1,0.91,0.94,1,1.2,0.9,0.84
"SPO3380",0.97,0.96,1,0.91,0.94,0.87,1.1,0.91,0.98,0.9,0.96,0.96,0.88,0.99,0.91,0.94
"SPO3381",0.95,0.96,1,0.99,0.99,1,0.97,0.93,1,1,0.96,0.99,0.98,0.91,0.98,0.92
"SPO3382",1,1.1,1,1,1,1,1.1,0.98,1,1,1.1,0.98,1.1,1.1,1.1,0.97
"SPO3383",0.95,0.95,1,1,1.1,0.99,1,0.97,0.97,1,1,1,1,1,1.1,1
"SPO3384",1,1,0.95,1,0.99,1,1,1.1,0.93,1,1,1,1.1,1.1,0.85,1.1
"SPO3385",1.1,1.1,1.1,1.1,1.1,1,1,1.1,1,0.96,1,1.1,1.1,1.1,1.1,1
"SPO3386",0.98,0.84,1,1.1,1,1,1.1,0.88,0.9,0.93,1,0.99,0.89,0.98,1.1,0.97
"SPO3387",0.95,0.95,1,1,0.92,0.99,0.92,0.97,0.96,0.96,0.98,0.96,0.95,0.96,0.97,0.96
"SPO3388",1.1,1,1,0.98,1.1,1,1,1.1,0.97,1,1,1.1,0.97,1,1,1
"SPO3389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO3390",0.95,1,0.98,1.2,1.1,0.85,0.94,0.95,1,1,0.87,1,1.1,0.95,0.84,1
"SPO3391",1,1,0.96,0.91,0.91,0.99,0.86,0.9,0.89,1,0.97,0.97,0.71,0.94,1,0.97
"SPO3392",0.99,1,0.98,1,1,0.87,0.9,1,0.97,1,1,1,0.93,1,1,1
"SPO3393",1.1,0.88,1,0.94,0.99,0.76,1,1,0.98,0.89,0.98,1,0.99,0.84,0.92,0.88
"SPO3394",1.2,1,1,1,1,1,1.1,1,1.1,1,1.1,0.99,1,0.97,1,1
"SPO3395",1,1,0.99,0.95,0.92,1,0.94,0.99,1,1,1,1.1,0.96,1.1,1,1
"SPO3396",1,0.99,0.89,0.98,0.99,0.99,0.92,0.88,0.9,0.93,0.93,0.91,0.95,0.97,0.87,0.88
"SPO3397",1.1,0.71,0.74,0.99,1,0.95,1.1,0.68,0.9,0.93,0.85,1,0.65,1,0.98,1
"SPO3398",1,1,1.2,0.67,0.79,1.2,1,0.9,0.87,1.1,1.1,1,0.95,1.2,0.89,1.1
"SPO3399",1.1,0.91,0.93,NA,1.1,1,0.92,1.3,1.1,1.1,0.85,1.3,1.2,1,0.93,1.5
"SPO3400",0.91,0.95,1,0.94,0.92,0.97,0.97,0.98,0.87,0.95,0.97,1,0.95,1,0.94,0.96
"SPO3401",0.43,1.2,0.96,0.76,0.85,1.2,1.1,0.54,0.82,1.2,0.96,1.1,0.72,1.2,1.1,0.92
"SPO3402",0.89,1.1,0.92,0.92,0.82,0.9,0.86,0.93,0.99,0.86,0.71,0.89,1,1,0.83,0.86
"SPO3403",1.1,1.1,1,1.1,1.1,1.1,1,0.95,0.99,1,1,0.98,1.1,1.2,0.99,1
"SPO3404",0.86,1,0.91,1.1,0.8,1,1,1.1,0.85,0.97,0.89,1.1,0.98,0.93,1,1
"SPO3405",1,1.1,0.95,1,1.1,0.98,1.1,1.1,1,1,0.99,0.99,1,1,1,1.1
"SPO3406",1.2,1,0.93,1,0.67,1.2,0.75,1,0.92,0.97,0.88,0.9,1.1,1,0.91,1.1
"SPO3407",1,1.1,0.78,0.55,0.78,1.2,0.79,1,0.97,1.1,1,0.9,1,1.2,0.95,0.93
"SPO3408",1.2,0.96,1.1,1,1.1,1,1.1,0.9,1.1,0.99,1.1,1,1.1,0.98,1.1,1
"SPO3409",0.97,1,1.1,0.71,1.1,1.1,1.3,0.94,1.3,0.6,1.2,0.85,1.2,1.2,1.4,0.93
"SPO3410",0.83,1,0.96,1.1,0.74,0.85,1,1.1,0.93,0.96,0.96,0.8,0.99,0.88,0.9,1.1
"SPO3411",0.95,0.95,0.93,1,0.92,0.96,0.98,1.1,0.96,0.98,0.94,1,0.95,1,0.94,1
"SPO3412",1.1,0.91,1,0.89,0.9,0.87,1.1,1,1,0.97,1.1,1.1,1.1,0.96,1.1,1.1
"SPO3413",0.88,1.1,1.1,1.1,0.91,0.96,1.2,1,0.96,0.97,1.1,1.1,0.97,1,1.1,1
"SPO3414",0.97,1,1,1.1,0.95,1,1,1,0.94,1,1,1.1,0.99,0.97,0.98,0.98
"SPO3415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO3416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO3417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO3418",1.1,1,1.1,1,0.77,1,0.84,0.88,0.96,1,1,0.97,0.91,0.99,0.93,0.91
"SPO3419",NA,0.43,NA,NA,NA,NA,NA,NA,NA,0.74,NA,NA,NA,0.97,NA,NA
"SPO3420",0.92,1,1,0.94,0.97,1.1,1,0.94,0.92,0.97,0.99,0.91,1.1,1.1,1.1,1
"SPO3421",0,NA,0.41,NA,0.86,NA,0,0.9,0,NA,0.49,NA,0,NA,0.89,NA
"SPO3422",0.76,1.1,1.2,1.1,0.85,1.1,1,0.9,0.94,1.1,1.2,1.1,0.8,0.45,1.1,0.79
"SPO3423",1,1.1,1.1,1.1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1,1.1,1.1,1
"SPO3424",0.95,0.93,0.97,1,0.99,1,0.97,1,0.99,0.97,0.93,1,1.1,0.97,1,0.92
"SPO3425",1,1.1,1.1,1,1,1,1.1,0.94,1.1,1.1,1.1,0.99,1,1.1,1.1,0.9
"SPO3426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO3427",NA,NA,0.77,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0.84,NA
"SPO3428",1,1.1,1,1.1,0.95,0.99,1,0.87,1,0.99,0.95,0.87,1,1,1,0.91
"SPO3429",0.93,1,0.89,1,0.91,0.95,0.99,0.99,0.93,0.87,0.78,0.87,0.94,0.99,0.95,0.96
"SPO3430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO3431",0.88,1,0.83,0.91,0.95,1,0.96,0.96,0.87,0.83,0.85,0.96,0.8,0.99,0.95,1
"SPO3432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO3433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO3434",NA,NA,1.2,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA
"SPO3435",0.86,1,1,1,0.68,0.99,1,0.93,0.91,0.94,0.98,0.97,0.68,1,0.9,1
"SPO3436",1.1,0.83,1.1,1.1,1,0.96,1.1,1.1,1.1,0.94,1,1.1,1.1,0.87,0.94,1
"SPO3437",0.95,1.1,1.1,0.97,0.98,1,1.1,0.94,0.99,1,1,0.96,0.96,1,1,0.93
"SPO3438",1.2,1.1,1.2,0.78,0.93,0.99,1.3,0.9,1.1,1.1,1.2,0.86,1.2,1.1,1.1,0.82
"SPO3439",1.1,0.78,1.1,0.78,0.99,0.98,0.99,0.98,1.1,1.1,0.98,0.97,0.7,0.97,1.1,1
"SPO3440",1,1.2,0.75,0.82,0.94,0.9,1.1,0.95,0.79,1.1,0.98,0.96,0.74,1.1,1,0.88
"SPO3441",0.95,0.97,1,1,0.97,1,0.98,0.99,0.96,1,1,0.97,0.98,0.98,1,1
"SPO3442",1.1,1,0.98,1,0.95,1.1,0.91,0.92,0.95,1,1,0.92,0.94,0.94,0.93,0.96
"SPO3443",1.2,0.88,0.99,0.87,1.2,0.92,1.1,0.97,1.1,0.81,1,0.95,1,1.1,1,1
"SPO3444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO3445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO3446",0.91,1.1,1.2,0.78,0.84,1,1.2,0.9,0.27,1.1,1,0.82,1,1.2,1.2,0.85
"SPO3448",1.1,1,1,0.99,1.1,1,1.1,1.1,1.1,1,0.97,1,1,0.97,1.1,0.99
"SPO3449",0.91,0.94,0.92,0.96,1.1,0.98,0.96,0.9,0.9,0.98,0.98,1,0.92,0.93,0.88,1
"SPO3450",1.1,0.97,1,1,1,1,1,1,1,1,1.1,1,1.1,0.98,1,1
"SPO3451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO3452",1.1,1.1,1,1.1,1,1.1,0.97,0.97,1.1,1.1,1,1,1.1,1,1,1.1
"SPO3452a",1.1,0.84,0.63,1.1,0.77,0.82,0.9,0.81,0.84,0.9,0.92,0.96,1,0.79,0.99,1
"SPO3453",1.2,1,1,0.91,1.2,1.1,0.79,0.89,1.1,0.8,0.97,0.91,1.1,1,0.95,1
"SPO3454",0.96,0.9,1,1,1,0.96,0.98,0.94,0.98,0.98,0.99,0.98,1.1,0.98,1.1,0.95
"SPO3455",1.1,0.98,0.94,0.97,1.1,0.93,0.99,0.99,1,0.98,1,1,1,1,0.97,1
"SPO3456",0.97,0.98,1.1,0.9,0.91,1,0.99,0.89,0.94,0.99,0.95,0.91,1,0.89,1.1,0.95
"SPO3457",0.69,1,1,1.1,0.8,0.84,1,0.93,0.93,0.93,1,1,0.94,0.91,0.84,1
"SPO3459",0.88,0.75,0.93,0.89,0.99,0.91,1,0.99,0.9,0.88,0.94,0.93,0.98,0.88,0.92,0.8
"SPO3460",0.91,0.92,0.93,1,0.88,0.9,0.98,1.1,0.92,0.94,0.91,1,0.92,0.83,1.1,1
"SPO3461",0.86,1,1.1,1,0.96,0.92,0.99,1,0.81,1,1.1,1,0.96,0.95,1,0.99
"SPO3462",1,1,0.99,0.95,0.99,0.92,0.97,0.98,1,0.96,0.95,1,0.99,0.97,0.99,0.96
"SPO3463",0.81,0.83,1,0.99,0.97,0.9,0.92,0.97,0.99,0.9,0.95,0.93,0.88,0.97,0.98,0.9
"SPO3464",0.93,0.44,0.16,0.52,0.98,0.56,0.79,0.91,0.83,0.84,0.67,0.79,1,1,0.87,0.92
"SPO3465",0.97,0.98,0.92,0.87,0.92,0.85,0.93,0.94,0.98,1,0.95,0.94,0.98,1,1,0.96
"SPO3466",0.92,0.95,0.96,0.93,0.98,0.98,1,0.91,0.82,0.99,0.94,0.91,1,0.92,0.9,0.98
"SPO3467",1,1.1,0.91,0.9,1,1,0.9,0.96,0.96,1,0.92,0.94,1,1.1,0.99,1
"SPO3468",0.98,0.96,0.94,0.95,1.1,1,0.99,0.97,0.99,0.98,1,1,1,0.94,1,0.96
"SPO3469",1.1,1,0.98,1,1,0.98,1,1,1.1,1,1,0.97,1,1,1,1
"SPO3470",0.91,0.93,1,0.98,0.99,0.98,0.88,1,0.97,0.94,0.98,1,0.92,1,1,0.97
"SPO3471",0.92,0.95,0.97,0.95,0.94,0.95,0.93,0.91,0.93,0.95,1,0.95,0.9,0.94,0.93,0.93
"SPO3472",0.94,0.96,1,0.92,1.1,0.98,1,1,1,0.99,1,0.93,1,0.84,1,0.95
"SPO3473",0.94,0.89,0.97,0.98,1,0.96,0.99,0.98,1,0.93,1,0.97,0.95,0.9,1,0.96
"SPO3474",0.91,1,1,1,1.1,1.1,1.1,1,1,1.1,1.1,0.95,0.96,1,1,0.99
"SPO3475",0.98,0.92,1,0.97,1.1,1,0.97,0.91,0.98,1,0.99,0.95,0.98,0.97,0.95,0.99
"SPO3476",1.1,0.93,0.99,1,1,1,1,1,0.97,0.95,0.96,1.1,1.1,0.75,0.96,0.97
"SPO3477",0.97,0.96,1,1,1.1,0.91,0.97,0.9,1,1,1,0.98,1.1,1,1,0.87
"SPO3478",0.99,0.99,0.98,0.98,0.82,0.81,0.85,0.86,0.87,0.97,0.92,0.93,0.88,0.92,0.92,0.9
"SPO3479",0.93,1,1,0.98,0.74,0.8,0.76,0.59,0.92,0.88,0.98,0.9,0.9,0.9,0.76,0.91
"SPO3480",0.92,1,0.97,0.86,0.81,0.92,0.86,0.73,0.83,0.95,0.89,0.87,0.83,0.89,0.87,0.85
"SPO3481",0.98,0.94,1,0.99,0.93,1.1,0.95,1,0.93,0.97,1,0.95,0.93,1.1,1.1,0.97
"SPO3482",1.1,1,1,0.9,0.94,1,1,0.95,0.95,0.98,1,0.95,0.95,0.91,0.85,1
"SPO3483",0.96,1.1,0.88,1,0.91,1.1,0.92,0.97,0.95,1,0.96,0.98,0.99,1.1,0.95,0.92
"SPO3484",0.96,1,1,1,1,1,1,1,1,0.95,0.98,0.99,1.1,0.96,0.97,0.97
"SPO3485",1,1.1,0.96,1,0.95,1.1,0.73,0.97,0.95,0.98,0.9,0.89,0.9,1.1,0.86,1.1
"SPO3486",1.1,0.84,1,0.51,0.93,1,0,0.87,1.1,1,1,0.82,0.95,0.95,0.82,0.56
"SPO3487",0.83,1,0.81,1.1,0.98,1.1,0.73,0.89,0.87,0.95,0.96,0.89,0.96,1,0.87,0.91
"SPO3488",1.2,1.1,1,1,1.1,1.1,1.1,0.95,1.1,1.1,1.1,1,1.1,1.1,1,1.1
"SPO3489",NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,NA,NA
"SPO3490",1.4,1.1,1.1,1.1,1.2,1.1,1.1,1.1,1.3,0.88,1.1,1.1,1.3,1.1,0.98,0.86
"SPO3491",1.1,0.98,1,0.91,1.1,0.9,1,0.89,0.96,0.99,1,1,0.96,0.93,0.91,1
"SPO3492",1.1,0.91,0.8,0.9,1.1,1,0.9,1,1.1,1,0.92,1,1.1,1,0.82,0.98
"SPO3493",1,1,0.94,1,1,1,0.93,1,1,0.97,0.88,1,0.98,1.1,0.91,0.9
"SPO3494",0.81,1,0.99,1,0.96,0.94,1,0.99,0.95,1,1,0.98,1,1,1,0.98
"SPO3495",0.78,0.82,0.84,0.96,0.98,0.86,1.1,0.85,0.78,0.84,0.98,0.94,0.98,0.8,0.94,1
"SPO3496",0.86,1.1,1.1,0.7,0.72,0.69,1.1,1.1,1.2,0.76,1.1,0.96,0.97,1.3,0.94,0.9
"SPO3498",0.98,0.95,0.98,0.96,0.93,0.91,0.99,1,0.91,0.9,0.88,0.88,0.98,0.98,1,1
"SPO3498a",0.93,0.9,0.91,0.99,0.86,0.8,0.85,1,0.9,0.85,0.79,0.86,0.94,0.94,0.88,0.99
"SPO3499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO3500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO3502",0.97,0.98,1,0.96,1,1,0.98,0.99,1,1,0.99,1,0.99,1.1,0.99,1
"SPO3503",0.96,1,0.95,1.1,0.93,1.1,0.99,1.1,0.96,0.99,1.1,1,0.93,1.1,1,1.1
"SPO3504",0.96,0.98,1,1.1,0.86,1,0.98,1,0.99,0.99,0.98,1.1,0.94,1,1.1,1
"SPO3505",1.1,1,0.98,1,1,1,0.99,0.98,1,1,1,1.1,1,1,1.1,0.99
"SPO3506",1.4,1.1,0.94,1,1.1,1,0.88,0.95,1.3,1.1,0.86,1,1.3,0.99,0.96,0.85
"SPO3507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO3508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO3509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO3511",0.98,1.1,0.96,1,0.93,1,1,0.98,1,1,0.97,1,0.99,0.98,1,1
"SPO3512",0.86,0.93,1,1.1,0.83,0.93,1,0.97,0.9,0.99,1.1,1.1,0.86,0.94,0.99,1
"SPO3513",0.46,NA,0,0,0.43,NA,0,0,0.86,NA,0.83,1,0.85,NA,0,0.95
"SPO3515",1,0.92,1.1,0.99,0.94,0.99,1,0.98,0.99,0.98,1,1,0.98,1,1,0.97
"SPO3516",NA,0.75,NA,0,NA,0,NA,1.1,NA,0.77,NA,0.98,NA,0,NA,1.1
"SPO3518",0.87,0.91,1.3,0.66,0.88,1,1.1,0.98,0.96,0.93,1.1,0.86,0.79,1,1.3,0.84
"SPO3519",0.89,1,1,0.91,1,0.99,0.97,0.99,0.96,0.9,1,0.99,1.1,0.93,0.89,0.95
"SPO3520",0.93,0.87,1,0.95,0.96,0.93,0.91,0.95,0.93,0.96,0.97,0.96,0.92,0.87,0.89,0.97
"SPO3521",0.97,0.76,0.94,0.92,0.98,0.93,0.71,1.1,0.96,0.85,0.94,0.83,0.84,0.86,0.67,1
"SPO3522",0.91,0.89,0.97,0.82,0.99,0.92,0.85,0.93,0.96,0.88,0.94,0.89,0.99,0.77,0.87,0.93
"SPO3523",1,0.92,0.79,0.91,1.1,1.1,0.79,0.94,1,0.91,0.89,1,0.95,0.99,0.76,0.89
"SPO3524",1,0.92,1,0.84,0.98,0.96,0.82,0.89,1.1,0.96,1,0.91,0.92,0.83,0.87,0.82
"SPO3525",0.85,0.85,0.88,0.8,0.8,0.87,0.79,0.97,0.82,0.89,0.93,1,0.87,0.79,0.77,0.93
"SPO3526",0.88,0.92,0.96,0.95,0.95,0.92,0.87,0.97,0.96,0.91,0.95,0.96,0.93,0.83,0.87,0.94
"SPO3527",1.1,1,1.1,1,0.99,0.99,1,0.99,1,1,1.1,1,1.1,1,0.98,1
"SPO3528",0.96,1.3,0.96,1.2,1,1.3,0.9,1.3,1,1.2,0.85,1.2,1,1.1,0.95,1.2
"SPO3529",1.1,1,1.1,0.95,1.1,0.95,1.1,0.95,1,1,1.1,0.97,1.1,1,1,0.9
"SPO3530",1.1,0.94,0.99,0.97,1,1,1,1,1,1,1,0.96,1.1,1,1,0.98
"SPO3531",1,0.88,1,0.99,0.99,0.97,0.9,1,0.97,0.92,0.98,0.99,0.94,0.88,0.85,1.1
"SPO3532",0.97,1,1,1,0.96,1,1,0.98,0.96,0.96,1,1,0.93,1,1,0.97
"SPO3533",1,0.86,0.95,0.96,0.86,0.87,0.94,0.85,0.87,0.82,0.96,0.9,0.82,0.95,0.95,0.9
"SPO3534",0.6,1.4,1.3,1.2,0,0.9,1.4,1.2,0.82,NA,NA,0.48,0.8,0.81,0.93,0.44
"SPO3535",0.91,0.9,0.99,1,0.9,1.2,0.67,1,0.86,1,0.91,0.86,0.8,0.87,0.54,1
"SPO3536",0.71,0.88,0.84,1.1,1,1,0.78,1,1,0.72,0.77,0.76,0.94,0.96,0.65,1.1
"SPO3537",1,1,0.98,0.99,1,1,1.1,0.97,0.97,1,0.95,0.97,1,1.1,0.95,0.95
"SPO3538",0.96,0.99,0.83,0.96,0.96,0.94,0.87,0.93,0.87,0.89,0.86,0.86,0.94,0.96,0.78,0.94
"SPO3539",0,0.017,0,0,0.16,0,0,0.14,0,0,0.17,0,0.25,0.28,0.28,0
"SPO3540",1,1.1,1.1,1,0.96,1,1,0.99,1,1,1.1,1,1,1,1,1
"SPO3541",1.1,1.1,0.99,1.1,1,1,1,1.1,0.98,1,0.93,1,1,1.1,0.92,1
"SPO3542",1,0.95,1,1,1,1,0.92,1,1,0.92,0.96,0.93,1.1,0.96,0.94,0.94
"SPO3543",1,0.78,0.88,0.87,0.96,0.99,0.79,1,0.87,0.97,0.85,1.1,1.1,0.81,0.9,0.89
"SPO3544",0.95,0.98,0.91,0.95,0.9,0.95,1,0.99,0.91,0.96,0.92,0.91,0.95,0.92,0.98,0.9
"SPO3545",1,0.94,0.99,0.98,0.98,0.97,1,0.93,0.95,0.94,0.96,0.96,0.94,0.88,0.95,0.92
"SPO3546",0.94,1.1,1.1,0.93,0.92,1,0.96,0.91,0.95,1,1.1,1,0.91,1,1,0.95
"SPO3547",0.88,1,1.1,1.1,0.92,1.1,0.95,1.1,0.94,1,0.95,1,0.93,1.1,0.98,1.1
"SPO3548",1.1,0.95,0.97,0.99,1,1,0.94,1.2,1,1,1,1,1.1,1.2,1,1
"SPO3549",0.96,0.91,1,0.74,1,0.91,0.91,0.98,0.9,0.86,0.91,0.9,1,0.97,0.94,1
"SPO3550",1.4,0.99,0.95,0.93,1.3,0.42,1.3,0.86,0.62,0.77,0.86,1.1,1.3,0.89,1.1,0.85
"SPO3551",0.85,0.97,0.96,0.86,0.89,0.9,1,0.92,0.95,0.78,0.92,1,0.85,0.9,0.9,0.98
"SPO3552",1,1,0.86,0.85,0.95,1.1,0.99,0.97,1,1,1,0.91,0.98,1.1,1,0.99
"SPO3553",1.1,1.1,1,1,1,0.96,0.97,1,1.1,0.95,1,1,1.1,1,0.91,1
"SPO3554",1.1,0.99,1.1,0.99,1,1,1.1,1,1,1,1.1,1,1.1,1.1,1.1,0.98
"SPO3555",1.1,1,1,1,1.1,0.98,1,1,1.1,1,1,0.99,1,0.97,1,1
"SPO3556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO3557",1.2,0.98,0.9,0.91,0.96,0.83,0.81,1,1.1,0.87,0.9,1,0.89,0.97,0.96,1.1
"SPO3558",0.91,0.91,0.91,0.87,0.97,0.97,0.92,0.89,0.9,1,0.95,0.98,0.95,1,0.96,0.95
"SPO3559",0.89,0.92,0.92,0.89,0.93,0.94,0.91,0.96,0.94,0.98,0.94,0.94,0.91,0.94,0.93,0.98
"SPO3560",0.95,0.83,1.1,1,0.96,0.92,0.94,0.94,0.94,1,0.99,0.95,0.97,1,0.93,0.96
"SPO3561",0.51,0.26,0.39,0.41,0.71,0.69,0.75,0.86,0.6,0.54,0.47,0.26,0.64,0.67,0.67,0.75
"SPO3562",0.87,0.8,0.8,0.87,0.97,0.78,0.89,0.91,1,0.81,0.88,0.71,0.95,0.94,0.83,0.9
"SPO3563",1,1.1,1.1,1,0.86,1,0.99,1,0.94,1,1.1,1,0.98,1.1,1,1.1
"SPO3564",1,1,0.94,1,0.99,0.98,1,0.93,1,0.95,0.96,0.98,1,0.94,1,0.93
"SPO3565",1.1,1.2,0.86,1,0.88,1.1,0.85,1,1,1.2,0.91,1.1,0.91,1.1,0.99,1.1
"SPO3566",0.88,0.97,0.95,0.98,0.9,0.94,1,1.1,0.88,0.97,0.95,1.1,0.93,0.85,1,1
"SPO3567",1.1,0.97,0.99,1.1,1.1,0.97,1,1,1.2,1,1,0.97,1.1,0.99,1.1,1
"SPO3568",1.1,1,1.1,0.97,1.1,0.99,1.1,1,1.1,1,1.1,1,1.1,1,1,1
"SPO3569",1.1,1,1.1,0.98,0.97,1,1.1,1.1,1.1,1,1,1.1,1,0.93,1,1.1
"SPO3570",0.93,0.84,0.86,0.9,0.97,0.88,0.9,0.96,0.96,0.86,0.91,1,0.99,0.89,1,1
"SPO3571",1.1,1,1,1,1,1,1,1,1,1,0.98,0.99,0.96,1,1,0.98
"SPO3572",0.87,0.84,0.88,0.96,0.98,0.77,1,0.92,0.99,0.91,0.99,0.88,1,0.85,0.9,0.91
"SPO3573",0.97,1.1,1,0.94,0.86,1.1,1,0.97,0.93,1,0.98,0.98,0.96,0.96,1,0.93
"SPO3574",1,1.1,0.94,1.1,0.99,1,0.86,0.93,0.87,1,0.95,0.94,0.94,1.1,0.8,1
"SPO3575",0.87,0.71,1.2,0.97,0.96,1.1,1.1,0.89,1,0.97,1.1,0.82,0.83,0.86,1.1,0.91
"SPO3576",1.2,1.1,1.1,1,1.1,1.1,1.1,1,1.1,1.1,1,1,1.1,1.1,1.1,1
"SPO3577",0.91,0.89,0.98,0.94,0.87,0.84,0.98,0.95,0.81,0.96,1.1,0.85,0.92,0.88,0.93,1
"SPO3578",1,0.86,0.88,1.1,0.94,0.85,0.94,0.94,1,0.83,0.9,0.98,0.91,0.82,0.81,0.99
"SPO3579",1.1,1.1,1.1,1,1,1.1,1.1,1,1,1.1,1.1,1.1,1,1.1,1,1.1
"SPO3580",0.87,0.9,0.9,1,1,0.96,1,0.89,1,0.91,0.93,1,0.97,0.95,0.9,1
"SPO3581",1.1,1.1,1.1,0.99,1.1,1,1.1,1,1.1,1.1,1,1,1,1.2,0.99,1.1
"SPO3582",1.1,1.1,1.1,1.1,1.1,1.1,1,1.1,1,1,1,1,1,1,1.1,1.1
"SPO3583",1,1.1,1,0.96,0.86,1,0.92,0.95,0.93,0.99,0.94,0.98,0.88,1,0.95,0.91
"SPO3584",1.2,0.98,1,1.1,1.1,0.96,1,1.1,1,0.97,1,1,1.1,0.97,0.91,1.1
"SPO3585",1,0.82,0.91,0.87,1.1,0.95,0.96,0.92,1.1,0.91,1,0.99,1,1,1,0.96
"SPO3586",1.1,1,1,1,0.99,0.96,1,0.99,1,0.99,0.99,1,0.99,0.99,0.95,1
"SPO3587",1,0.98,0.97,0.95,0.95,0.96,1,1,1,1,0.97,1,1,1,0.97,0.99
