"spo","w_1_rpomAlone","w_2_rpomAlone","w_3_rpomAlone","w_4_rpomAlone","w_1_vib","w_2_vib","w_3_vib","w_4_vib","w_1_mari","w_2_mari","w_3_mari","w_4_mari","w_1_CC","w_2_CC","w_3_CC","w_4_CC"
"SPO1192",NA,0.44,1.4,0,NA,0.6,1,0,NA,0.86,1.1,0,NA,0.98,1.1,0.99
"SPO1193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1194",NA,0.71,NA,NA,NA,NA,NA,NA,NA,0.97,NA,NA,NA,NA,NA,NA
"SPO1195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1197",1.1,1.2,0.96,1.1,1,1.2,1,1.1,0.94,1.1,1,0.9,0.9,1.1,0.89,1
"SPO1198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1199",1,0.43,0.83,1.5,NA,0,1.1,1.4,1.3,0.87,0.91,1.5,NA,0,1.1,1.5
"SPO1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1204",1.2,0.9,0.99,0.88,0.79,0.82,1.1,1.1,0.96,0.9,0.98,0.52,0.88,1.1,0.81,1
"SPO1205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3
"SPO1206",0.4,0.99,0.74,0.73,0.71,1,0.93,1.1,0.99,0.98,0.7,0.98,0.94,0,0.63,0.72
"SPO1207",1.1,1.1,1,1,0.89,1,0.74,0.98,1,1,0.97,1,1.2,1.1,1,0.92
"SPO1208",NA,0.74,1.5,1.3,NA,0.87,NA,0.96,NA,0.83,NA,0.88,NA,0,1.6,0
"SPO1209",0.94,1.1,1,1.1,1,1.1,1.1,1.1,1,1,0.99,0.97,1,0.92,0.95,1
"SPO1210",1,1.1,1,1.1,0.96,1,0.98,1,0.97,1.1,0.99,1,0.96,1,0.97,1.1
"SPO1211",1,1.1,1.1,1.1,1.1,0.92,0.98,1,1.1,1,1.1,1,1.1,0.98,1,0.91
"SPO1212",1.1,1,1,1,1.1,0.97,0.95,0.93,1.1,1.1,0.96,1,1,0.96,1.1,1.1
"SPO1213",1,1,0.99,0.92,1,1,1,0.95,0.9,0.89,0.92,0.91,0.94,0.88,1.1,1
"SPO1214",0.9,0.97,1,1,0.99,1.1,1,0.96,0.97,0.98,0.99,0.99,0.96,0.94,0.97,1.1
"SPO1215",1.1,0.93,1,0.77,0.97,0.95,1.1,1,1.1,0.97,1,0.99,1,0.88,1,0.92
"SPO1216",0.85,0.93,0.87,0.72,0.87,0.85,0.74,0.96,0.95,0.97,0.85,0.88,0.87,0.87,0.89,0.94
"SPO1217",0.89,0.91,0.86,0.89,0.95,1,0.62,0.97,0.86,0.76,0.96,0.61,0.9,0.93,1.2,0.67
"SPO1218",0.93,0.92,0.91,0.99,0.95,0.93,0.9,0.94,0.87,0.94,0.91,0.96,0.91,0.89,0.92,0.95
"SPO1219",1.1,1.1,1,1.1,1.1,1.1,1,1,1,1.1,1,1.1,1.1,1,1,1.1
"SPO1220",0.91,0.95,0.92,0.97,0.97,1,0.93,0.95,0.93,0.95,0.96,1,0.88,0.97,1,0.88
"SPO1221",0.99,0.99,0.98,1,1,1,0.98,0.99,0.97,1,0.99,1,0.99,0.99,1,1
"SPO1222",0.93,0.88,0.9,0.95,0.85,0.91,0.9,0.91,0.95,0.93,0.93,0.92,0.94,0.94,0.94,0.92
"SPO1223",1.1,0.88,0.87,0.89,1.3,0.91,0.95,0.95,1.1,0.9,0.83,0.79,1,0.91,0.83,0.89
"SPO1224",0.86,0.95,0.94,0.88,0.9,0.91,0.87,0.96,1,0.82,0.86,0.96,0.97,0.96,0.86,0.9
"SPO1225",0.52,1.2,0.75,0.51,0.81,1.1,0,0.89,0.8,1.2,0.84,0.84,0.72,NA,0.74,0.9
"SPO1226",0.92,0.95,0.95,0.9,0.99,0.96,0.98,0.96,0.97,0.99,0.94,0.88,0.99,0.93,0.94,0.97
"SPO1226a",0.89,0.98,1,0.86,0.95,0.91,0.98,0.9,0.97,0.93,0.98,1,0.96,1,1,1
"SPO1227",0.94,0.97,0.98,0.92,0.97,1,0.93,0.89,0.95,0.97,1,0.93,0.99,1,0.95,0.91
"SPO1228",0.92,0.87,0.86,0.99,0.88,0.87,0.97,0.95,0.9,0.95,0.91,0.96,0.87,0.99,0.98,0.98
"SPO1229",0.95,1,0.89,0.89,0.91,0.99,0.84,0.89,0.91,0.95,0.93,0.89,1,0.94,1,0.86
"SPO1230",0.94,0.96,0.98,1,0.9,0.93,0.93,0.9,0.92,0.93,1,0.94,0.93,0.91,0.95,0.92
"SPO1231",0.9,0.94,0.9,0.84,0.98,0.94,1,0.92,0.88,0.96,0.95,0.96,0.96,0.93,0.96,0.93
"SPO1232",0.8,0.88,0.87,0.98,0.75,1,0.94,0.91,0.89,0.94,0.9,0.87,0.97,0.85,0.74,0.8
"SPO1233",0.85,0.9,0.94,0.93,0.92,0.92,0.94,0.94,0.92,0.92,0.94,0.93,0.91,0.91,0.92,0.93
"SPO1234",1,1,1,0.97,1,1,0.98,0.99,1,0.98,1,0.97,1.1,1,1,0.97
"SPO1235",0.97,0.99,0.97,0.98,0.95,0.97,0.96,0.98,0.98,0.99,0.97,0.98,0.95,0.95,0.98,0.97
"SPO1236",0.98,0.97,0.94,0.96,1,0.94,0.94,0.97,1,0.96,0.95,0.99,1,0.99,0.97,0.98
"SPO1237",0.94,0.94,0.91,0.98,0.96,0.93,0.95,0.96,0.93,0.97,0.94,0.96,0.98,0.96,0.95,0.95
