mean,lwrCL,uprCL,spo,naCount
1.019,0.937,1.09,SPO3632,0
0.851,0.782,0.921,SPO3633,0
0.828,0.788,0.868,SPO3634,0
0.312,0,0.988,SPO3635,12
0.975,0.961,0.991,SPO3636,0
0.984,0.915,1.066,SPO3637,0
NA,NA,NA,SPO3638,10000
0.165,0,0.495,SPO3639,0
0.492,0.137,0.798,SPO3640,0
1.026,0.997,1.054,SPO3641,0
0.959,0.864,1.044,SPO3642,0
0.946,0.912,0.98,SPO3643,0
0.93,0.85,0.992,SPO3644,0
0.92,0.881,0.962,SPO3645,0
0.923,0.879,0.975,SPO3646,0
0.983,0.939,1.03,SPO3647,0
NA,NA,NA,SPO3648,10000
NA,NA,NA,SPO3649,10000
0.977,0.946,1.007,SPO3650,0
0.914,0.836,0.974,SPO3651,0
1.012,0.951,1.059,SPO3652,0
NA,NA,NA,SPO3653,10000
NA,NA,NA,SPO3654,10000
0.97,0.927,1.008,SPO3655,0
0.97,0.903,1.037,SPO3656,0
0.965,0.938,0.998,SPO3657,0
NA,NA,NA,SPO3658,10000
0.615,0.526,0.706,SPO3659,0
0.786,0.744,0.826,SPO3660,0
0.75,0.702,0.801,SPO3661,0
0.849,0.806,0.887,SPO3662,0
0.925,0.899,0.945,SPO3663,0
0.989,0.961,1.019,SPO3664,0
1.001,0.979,1.026,SPO3665,0
0.997,0.964,1.025,SPO3666,0
0.941,0.917,0.968,SPO3667,0
0.981,0.937,1.028,SPO3668,0
0.989,0.981,0.996,SPO3671,0
1.003,0.981,1.023,SPO3672,0
1.054,1.05,1.059,SPO3673,0
1.05,1.046,1.053,SPO3673a,0
0.942,0.909,0.972,SPO3674,0
0.994,0.968,1.022,SPO3675,0
0.938,0.907,0.966,SPO3676,0
0.956,0.931,0.98,SPO3677,0
0.981,0.967,0.994,SPO3678,0
1.014,0.985,1.043,SPO3679,0
0.973,0.927,1.025,SPO3680,0
0.956,0.941,0.966,SPO3681,0
0.978,0.956,0.999,SPO3682,0
