"spo","w_1","w_2","w_3","w_4"
"SPO0236",1.03,0.95,0.96,1.05
"SPO0237",1.03,1.01,1.03,1.03
"SPO0238",0.95,1,0.94,0.97
"SPO0239",0.98,0.99,0.99,1.05
"SPO0240",0.98,1,1.02,0.97
"SPO0241",0.99,0.99,0.96,1.03
"SPO0247",NA,NA,NA,NA
"SPO0248",0.94,1,1.06,0.91
"SPO0249",1.18,1.35,1.1,1.13
"SPO0250",1.03,0.99,1.04,0.94
"SPO0251",NA,NA,NA,NA
"SPO0252",0,0,0,0
"SPO0253",1.02,1.09,1.05,1.05
"SPO0254",1.04,1.05,1.06,1.01
"SPO0255",0.99,1,1.02,0.96
"SPO0256",1.01,1.03,1.05,0.95
"SPO0257",0.9,1.04,1.01,0.96
"SPO0258",1,0.97,0.98,1.04
"SPO0259",1.03,0.86,1.11,0.85
"SPO0260",0.98,0.96,1.02,1.01
"SPO0261",1.01,0.96,0.99,0.97
"SPO0263",0.99,0.92,1.05,0.88
"SPO0264",0.98,1.02,0.99,1.07
"SPO0265",0.92,1.04,1.01,0.98
"SPO0266",1.09,0.96,0.92,0.96
"SPO0267",NA,NA,NA,NA
"SPO0268",1.03,1.09,1,1.04
"SPO0269",0.95,1.07,0.87,1.04
"SPO0270",1.04,1.02,1.15,1.02
"SPO0271",NA,NA,NA,NA
"SPO0272",NA,NA,NA,NA
"SPO0273",NA,NA,NA,NA
"SPO0274",1,1.04,1.13,0.95
"SPO0275",1.12,1.02,1.09,1.02
"SPO0276",0.93,0.97,0.91,0.96
"SPO0277",0.92,1.05,0.96,0.99
"SPO0278",NA,NA,NA,NA
"SPO0280",NA,0.93,0.96,0
"SPO0281",0.96,1.07,0.98,0.95
"SPO0282",0.81,0.91,0.91,1.06
"SPO0283",NA,NA,NA,NA
"SPO0284",0.56,0.42,0.58,0.07
"SPO0285",1.02,0.81,0.9,0.91
"SPO0286",1.06,0.89,0.67,0.85
"SPO0287",0.55,0.49,0.66,0
"SPO0288",NA,NA,NA,NA
"SPO0289",0.99,0.97,0.86,0.93
"SPO0290",1.01,1,0.84,1.02
"SPO0291",0.87,0.82,0.79,0.81
"SPO0292",0.9,1.07,0.94,1
"SPO0293",0.98,0.97,0.99,1
"SPO0294",0.95,0.82,1.04,0.89
"SPO0295",0.97,0.97,1.02,0.99
"SPO0296",1.04,1.04,1.04,1.03
"SPO0297",NA,0,0,NA
"SPO0298",0.97,0.99,0.98,1
"SPO0299",0.97,1.01,0.99,1.05
"SPO0300",1.06,1.03,1.01,1.01
"SPO0301",1,0.96,1,1.04
"SPO0302",0.95,0.92,1.05,0.91
"SPO0303",1.09,1.17,0.98,0.99
"SPO0304",1.08,1.08,1.03,1.06
"SPO0305",0.95,1,0.93,1.01
"SPO0306",0.89,0.97,1.01,0.96
"SPO0307",0.97,0.83,0.94,1.04
"SPO0308",0.82,0.98,0.82,1.05
"SPO0309",0.99,1.05,0.87,0.94
"SPO0310",0.97,1.05,0.96,0.93
"SPO0311",1.1,1.06,1.08,1.06
"SPO0312",0.97,0.97,0.97,1.02
"SPO0313",1.01,1.1,0.95,0.94
"SPO0314",1.07,0.95,1.09,0.97
"SPO0315",1.05,0.89,0.83,0.85
"SPO0316",NA,NA,NA,NA
"SPO0317",0.98,0.96,0.75,0.97
"SPO0318",NA,NA,NA,NA
"SPO0319",NA,NA,NA,NA
"SPO0320",1.2,0.95,0.87,0.89
"SPO0321",1,0.92,0.97,1.07
"SPO0322",1.04,1.01,1.02,1.08
"SPO0323",0.92,0.93,1,0.98
"SPO0324",1.09,0.93,1.02,0.94
"SPO0325",1.12,0.95,1,1.01
"SPO0326",1.04,1.02,1.05,1.03
"SPO0327",1.01,1.05,0.96,0.99
"SPO0328",0.91,0.98,0.92,0.92
"SPO0329",0.92,0.91,1.01,0.87
"SPO0330",0.97,0.94,0.93,0.95
"SPO0331",1,0.94,1.07,1.05
"SPO0332",0,0,0.23,0
"SPO0333",1.1,1.15,1.07,0.98
"SPO0334",0.39,0.23,0.16,0.54
"SPO0335",0.97,0.95,1.01,1
"SPO0336",0.86,0.98,1.07,0.99
"SPO0337",1.01,1.02,1.01,1.04
"SPO0338",1.07,1.07,0.97,1.06
"SPO0339",0.97,1.06,1.04,1.01
"SPO0340",NA,NA,NA,NA
"SPO0342",1.01,1.01,0.83,1.02
