"spo","meanW","semW"
"SPO0770",0.848,0.113
"SPO0771",0.964,0.029
"SPO0772",1.005,0.033
"SPO0773",1.094,0.038
"SPO0774",0.953,0.017
"SPO0775",1.028,0.046
"SPO0776",0.962,0.078
"SPO0777",0.952,0.101
"SPO0778",0.954,0.094
"SPO0779",0.101,0.101
"SPO0780",0.842,0.037
"SPO0782",0.889,0.041
"SPO0783",0.945,0.025
"SPO0784",0.626,0.279
"SPO0785",0.928,0.141
"SPO0786",0.908,0.048
"SPO0787",0.815,0.118
"SPO0788",0.839,0.082
"SPO0789",1.121,0.071
"SPO0790",0.816,0.229
"SPO0791",1.023,0.031
"SPO0792",1.049,0.013
"SPO0793",0.909,0.073
"SPO0794",0.888,0.024
"SPO0795",0.879,0.156
"SPO0796",1.058,0.033
"SPO0797",0.945,0.053
"SPO0798",0.963,0.014
"SPO0799",1.027,0.083
"SPO0800",0.857,0.046
"SPO0801",0.834,0.017
"SPO0803",0.987,0.189
"SPO0806",0,0
"SPO0807",1.006,0.051
"SPO0808",0,0
"SPO0809",1.029,0.04
"SPO0810",0.994,0.053
"SPO0811",1.319,0.44
"SPO0812",0,NA
"SPO0813",0.945,0.014
"SPO0814",0.962,0.067
"SPO0816",0.985,0.039
"SPO0817",0.977,0.126
"SPO0818",0.945,0.021
"SPO0819",0.986,0.058
"SPO0820",1.035,0.041
"SPO0821",1.012,0.036
"SPO0822",0.952,0.06
"SPO0823",1.047,0.061
"SPO0824",0.985,0.054
"SPO0825",0.725,0.247
"SPO0826",0.932,0.018
"SPO0827",0.973,0.012
"SPO0828",0.997,0.028
"SPO0829",1.006,0.052
"SPO0830",1.011,0.021
"SPO0831",0.913,0.102
"SPO0832",0.954,0.045
"SPO0833",1.031,0.02
"SPO0834",1.005,0.018
"SPO0835",1.053,0.053
"SPO0836",1.034,0.049
"SPO0837",0.931,0.049
"SPO0839",0.992,0.043
"SPO0840",0.962,0.034
"SPO0841",0.966,0.017
"SPO0842",0.978,0.023
"SPO0844",0.973,0.02
"SPO0845",0.891,0.028
"SPO0847",0.949,0.02
"SPO0848",0.905,0.029
"SPO0849",0.951,0.008
"SPO0850",0.964,0.046
"SPO0851",0.833,0.093
"SPO0852",0.956,0.076
"SPO0853",0.983,0.113
"SPO0854",0.985,0.078
"SPO0855",0.984,0.028
"SPO0856",1.003,0.023
"SPO0857",0.951,0.052
"SPO0858",0.954,0.049
"SPO0859",1.134,0.041
"SPO0860",0.953,0.091
"SPO0861",1.018,0.029
"SPO0862",0.913,0.011
"SPO0863",0.975,0.206
"SPO0864",0.978,0.055
"SPO0865",0.976,0.037
"SPO0866",0.961,0.058
"SPO0867",1.018,0.06
"SPO0868",0.952,0.034
"SPO0869",0.939,0.022
"SPO0870",1.008,0.055
"SPO0872",0.953,0.007
"SPO0873",0.656,0.048
"SPO0874",0.916,0.08
"SPO0875",0.753,0.036
"SPO0876a",0.928,0.075
"SPO0877",1.001,0.012
"SPO0878",0.963,0.062
"SPO0879",0.955,0.03
"SPO0880",1.041,0.041
"SPO0881",0.921,0.022
"SPO0882",1.092,0.012
"SPO0883",0.994,0.01
"SPO0884",1.023,0.041
